Keyword,Significance,Support,Frequency
"невиновность",0.220989,4,4
"невнимание",0.055728,4,4
"невнимательность",0.03592,2,2
"невоз",0.013429,2,2
"невозврат",0.074831,3,3
"невозможное",0.089426,2,2
"невозможность",0.845806,10,10
"невралгия",0.023386,2,2
"невроз",0.06184,4,4
"невролог",0.028803,2,3
"неврология",0.032864,2,2
"невропатолог",0.020121,2,2
"нег",0.014199,2,3
"нега",0.044296,3,3
"негатив",0.80908,11,13
"негр",0.269584,4,9
"негритоска",0.013429,1,4
"недвижимость",3.371963,29,50
"неделька",0.185397,4,4
"недоброжелатель",0.061234,2,2
"недовольство",1.515872,16,18
"недомогание",0.294891,8,10
"недоношенность",0.012424,1,2
"недопущение",0.089426,2,2
"недоработка",0.167509,6,7
"недоразумение",0.113848,2,2
"недостаток",6.501301,66,84
"недостаточность",0.367257,6,7
"недоумение",0.427076,5,5
"недочеловек",0.023386,2,2
"недра",0.358872,4,6
"нежелание",1.14237,10,20
"нежить",0.014849,2,4
"незабудка",0.020121,2,2
"незаменимость",0.01481,1,2
"незнакомец",0.448243,10,11
"незнакомка",0.075402,4,4
"незнание",0.512304,10,10
"незрелость",0.012424,1,2
"неизбежность",0.222734,4,5
"неизвестное",0.105555,3,3
"неизвестный",0.254971,4,4
"нейробиолог",0.018683,4,7
"нейробиология",0.013429,2,2
"нейрографик",0.054118,27,27
"нейромаркетинг",0.015143,3,3
"нейрон",0.124437,3,4
"нейросетка",0.013429,2,2
"нейросеть",0.04401,18,23
"нейрохирург",0.016802,2,2
"нейтрализация",0.052607,2,3
"некоторые",1.194455,14,14
"некрон",0.012424,1,2
"нелегал",0.215754,5,6
"неловкость",0.157112,5,5
"немец",1.030821,10,16
"немн",0.014199,2,3
"немногие",0.03592,2,2
"немой",0.029756,2,2
"нен",0.013429,2,2
"ненависть",2.134456,21,30
"ненастье",0.029756,2,2
"ненужность",0.020121,2,2
"необ",0.013429,2,2
"необходимое",0.335759,5,5
"необходимость",7.127313,77,84
"неожиданность",0.465927,6,6
"неон",0.019109,2,2
"неопределённость",1.217864,15,17
"неопытность",0.050457,2,2
"непереносимость",0.020121,2,2
"неповиновение",0.098267,3,3
"неполадка",0.344278,8,8
"неполноценность",0.101875,4,4
"непонимание",0.545432,9,9
"непосредственная близость",0.727201,2,2
"неправильность",0.020121,2,2
"неправильный выбор",1.99601,2,2
"непрерывная работы",3.665676,2,2
"непрерывность",0.047647,2,2
"неприязнь",0.273737,5,5
"неприятие",0.192843,4,4
"неприятность",1.295581,15,15
"нер",0.014199,2,3
"нераскаянность",0.013429,2,2
"нерв",2.059928,23,25
"нервная клетка",1.082015,1,2
"нервозность",0.175175,5,5
"нервотрепка",0.044788,2,2
"нереальность",0.021736,1,2
"нерпа",0.058608,2,2
"несдержанность",0.019465,1,2
"несовершенство",0.67018,14,17
"несогласие",0.120252,2,2
"несоответствие",1.325125,15,23
"неспособность",0.829032,10,17
"несправедливость",0.613506,7,10
"несчастный",0.129139,3,3
"несчастный случай",2.603872,2,2
"несчастье",1.106662,13,14
"нетворкинг",0.033967,14,15
"нетерпение",0.555448,7,7
"неуважение",0.11217,2,2
"неуверенность",0.901821,16,18
"неудачник",0.339673,8,13
"неумение",0.356654,9,10
"неуплата",0.058433,2,2
"неуправляемость",0.012424,1,2
"неустойка",0.056605,1,3
"неустроенность",0.029756,2,2
"нефть",0.714922,7,9
"нечистота",0.155825,4,9
"нечисть",0.096938,5,9
"неясыть",0.049601,2,6
"ние",0.125395,20,26
"низ",0.51543,7,8
"никнейм",0.015143,3,3
"никотин",0.06647,3,3
"никчёмность",0.041882,2,2
"ним",0.046673,3,11
"ниро",0.050157,6,6
"нитка",0.763279,8,9
"ниточка",0.176491,2,2
"нить",1.816617,18,24
"нихонг",0.013429,2,2
"нич",0.055921,3,3
"ничья",0.722725,13,13
"ниша",1.952677,19,28
"нищеброд",0.020121,2,2
"нищета",0.579095,7,9
"нка",0.040609,9,9
"новая технология",7.937359,6,6
"новелла",0.056108,2,3
"новенькая",0.020121,2,2
"новенький",0.081087,3,3
"новинка",3.035235,40,42
"новичок",2.862475,32,36
"нововведение",2.023621,23,24
"новое",0.354234,6,6
"новолуние",0.033328,2,2
"новообразование",0.062183,3,3
"новорождённый",0.108719,2,2
"новостинацпроектаэкология",0.032287,13,13
"новостифинанс",0.018572,5,5
"новостройка",0.431698,4,8
"новость",16.95941,178,209
"новосёл",0.038926,2,2
"нога",13.22583,113,200
"ного",0.026264,9,10
"ноготь",0.876583,11,14
"нож",1.597597,17,20
"ножик",0.02397,1,2
"ножка",0.486044,6,6
"ножницы",0.142554,2,2
"ноздря",0.117629,4,4
"нокаут",0.047647,2,2
"ноль",0.184278,3,3
"ном",0.025181,3,3
"нома",0.016857,4,4
"номер",8.286795,79,118
"номер телефона",8.028452,24,26
"номинация",3.713498,39,48
"нона",0.026597,2,2
"нонфикшн",0.013429,2,2
"норка",0.057822,3,3
"нормализация",0.078395,2,2
"нормальное отношение",3.567267,3,3
"норматив",0.180516,2,2
"нос",2.815729,31,35
"носитель",0.802341,9,10
"носоглотка",0.013429,2,2
"носок",0.275289,3,5
"носочек",0.047647,2,2
"ностальгия",0.616427,13,13
"ность",0.041425,16,21
"нотариус",0.190668,3,5
"нотка",0.122696,3,3
"ноу",0.055937,2,2
"ноузворк",0.024573,10,11
"ноузворкмосква",0.013429,2,2
"ноутбук",0.636666,7,8
"ночлег",0.070686,3,3
"ночное",0.03592,2,2
"ношение",0.230504,4,4
"нравственность",0.265921,4,4
"нуж",0.013429,2,2
"нуждающийся",0.378952,6,6
"нужн",0.013429,2,2
"нужность",0.032544,1,2
"нуль",3.71067,38,46
"нумерология",0.012424,1,2
"нуть",0.013429,2,2
"ную",0.016857,4,4
"ный",0.261316,30,47
"нытьё",0.050457,2,2
"нье",0.081255,6,6
"нюанс",1.540264,18,18
"обаяние",0.44365,9,10
"обвинение",1.361588,15,16
"обдумывание",0.067851,4,4
"обед",2.887955,31,35
"обезвоживание",0.041882,2,2
"обезвреживание",0.035921,3,5
"обезьяна",0.440469,6,8
"оберег",0.058608,2,2
"обеспечение",1.667237,16,23
"обещание",0.94044,9,14
"обзор",4.195644,50,57
"обида",4.583565,41,72
"обидчивость",0.020203,3,3
"обидчик",0.244388,5,6
"обилие",0.820789,10,11
"обитание",0.437538,6,6
"обитель",0.308649,6,7
"обиход",0.173033,4,4
"облагораживание",0.020121,2,2
"обладатель",2.681007,30,32
"облако",1.845372,20,24
"область",24.863844,216,365
"облегчение",2.031646,23,29
"облепиха",0.022649,1,3
"облигация",0.336884,4,4
"облик",0.902934,10,11
"обложка",1.308655,15,15
"обложкинедель",0.025429,9,9
"обломок",0.114567,2,2
"облысение",0.015449,1,3
"обман",5.540466,62,73
"обманщик",0.073763,4,4
"обмен",3.065955,32,37
"обменник",0.026167,1,2
"обменный курс",2.194091,2,2
"обморок",0.09998,2,3
"обнаружение",0.442399,7,7
"обнимка",0.073704,2,2
"обновление",7.976627,85,103
"обогащение",0.152513,2,2
"обожествление",0.03761,1,3
"обозначение",0.378929,5,6
"обои",0.386737,6,6
"оболочка",0.663605,9,10
"обоняние",0.079577,4,4
"оборона",0.785328,9,9
"оборот",1.817729,16,27
"оборудование",3.270726,35,40
"обоснование",0.265044,3,3
"обоснованность",0.073294,1,2
"обострение",0.265921,4,4
"обочина",0.148776,2,2
"обработка",2.225557,24,26
"образец",2.407828,23,33
"образование",8.040747,80,104
"обратное",0.062183,3,3
"обращение",8.838819,72,139
"обрезка",0.065166,2,2
"обретение",0.278535,6,6
"обруч",0.057822,3,3
"обряд",3.141057,29,55
"обсерватория",0.128985,2,2
"обследование",0.731183,7,10
"обслуживание",1.496107,14,20
"обслуживающий персонал",0.773298,2,3
"обстоятельство",8.655042,83,115
"обстрел",0.095115,2,3
"обсу",0.013429,2,2
"обсуждение",3.383683,37,39
"обувь",3.399786,34,47
"обустройство",0.368496,5,5
"обучающаяся структура",0.692553,1,2
"обучение",7.148042,73,91
"обучениебизнес",0.022,7,7
"обход",0.529695,8,8
"общее",0.54287,6,6
"общежитие",0.243763,3,3
"общение",12.51584,104,193
"общепит",0.05161,1,2
"общественник",0.596881,9,14
"общественность",0.785328,9,9
"общественный деятель",1.88335,5,5
"общественный транспорт",1.743451,3,4
"общественный туалет",1.269002,2,2
"общество",7.417132,72,100
"община",0.235456,3,4
"объедение",0.016802,2,2
"объединение",1.353482,16,16
"объект",10.380282,90,156
"объектив",0.224221,4,4
"объем отходов",1.691487,2,3
"объем работы",7.055695,7,7
"объяснение",2.134072,22,26
"объятие",0.43587,7,7
"объятье",0.061907,3,4
"обыденность",0.015143,3,3
"обыч",0.018686,5,6
"обычай",8.272958,70,131
"обязанность",9.905769,77,176
"обязательство",1.532807,14,21
"обёртывание",0.023172,3,5
"оверлей",0.018331,2,3
"оверсайз",0.016446,4,4
"овертайм",0.074831,3,3
"овощ",2.879137,23,46
"овсянка",0.062183,3,3
"овца",0.441684,5,10
"овёс",0.073738,3,3
"оглашение",0.110461,2,2
"оглушение",0.01481,1,2
"оглядка",0.15585,4,4
"огнёвка",0.012424,1,2
"оговорка",0.177667,3,3
"огонь",7.05465,71,92
"огонёк",0.265921,4,4
"огород",0.573346,6,9
"огорода",0.151361,4,4
"ограбление",0.230743,4,5
"ограничение",3.394597,35,43
"ограниченность",0.108069,3,3
"ограниченный доступ",2.3174,3,3
"огурец",1.004388,11,18
"огурчик",0.169186,5,7
"одежда",14.901128,147,199
"одержимость",0.026597,2,2
"одержимый",0.055937,2,2
"одеяло",0.454019,5,6
"одземелье",0.013429,2,2
"одиннадцатиклассник",0.032864,2,2
"одиночество",3.954917,40,53
"одиночка",0.558839,7,8
"одного цвета",2.576929,2,2
"одноклассник",1.540699,21,26
"однокурсник",0.12769,4,4
"однородность",0.029756,2,2
"одуванчик",0.732841,6,63
"ожерелье",0.047647,2,2
"ожидание",4.780392,49,60
"ожирение",0.180989,5,5
"ожог",0.35386,6,7
"озабоченность",0.165772,3,3
"озарение",0.224534,7,7
"озвучивание",0.041882,2,2
"озвучка",1.100294,104,120
"оздоровление",0.732596,11,12
"озеленение",0.073704,2,2
"озеро",3.773927,34,54
"оказание",0.740986,8,9
"океан",3.20931,31,43
"оклад",0.153398,2,2
"окно",5.150356,50,67
"око",0.394468,7,7
"околица",0.044788,2,2
"оконце",0.026597,2,2
"окончание работ",3.69873,2,2
"окошко",0.30189,4,4
"окраина",0.333349,4,4
"окраска",0.63761,10,10
"окрашивание",0.032544,1,2
"окрестность",0.764408,8,10
"округ",1.603672,14,23
"окружающая обстановка",1.480098,2,2
"окружающая среда",4.697712,14,15
"окружающее",0.264814,8,8
"окружающие",0.216423,6,7
"окружение",4.871552,50,60
"окружность",0.056246,2,4
"окситоцин",0.013833,1,5
"октава",0.02521,4,5
"окупаемость",0.120252,2,2
"окурок",0.101875,4,4
"олень",0.377158,5,10
"олива",0.04888,3,3
"оливк",0.013429,2,2
"оливковое масло",3.20296,5,6
"олигарх",0.184242,2,2
"олимпиада",0.909498,9,15
"ольха",0.016394,1,4
"омбудсмен",0.104899,3,3
"омовение",0.034599,1,2
"омоложение",0.03957,2,2
"онкология",0.074921,2,5
"онлайн",0.835051,25,27
"опас",0.013429,2,2
"опасение",0.716972,8,8
"опаска",0.105555,3,3
"оперативная память",2.066143,2,2
"оператор",3.940324,36,55
"операция",5.532531,55,74
"оперение",0.053221,2,2
"описание",2.41516,33,36
"оплата",8.386638,91,111
"оплата счетов",2.388879,2,2
"опора",1.965863,20,26
"опоссум",0.012182,1,2
"оппонент",1.114718,12,13
"опре",0.013429,2,2
"определение",2.035223,20,26
"опровержение",0.099512,2,2
"опрос",2.735023,27,36
"опт",0.042483,1,2
"оптимальное решение",2.40987,2,2
"оптимизация",1.264179,15,16
"оптимист",0.125946,3,3
"опуб",0.013429,2,2
"опускание",0.03592,2,2
"опухоль",0.958106,11,28
"опция",0.73292,11,11
"опыт",16.453557,167,207
"опыт работы",6.4157,5,5
"оратор",0.186964,3,4
"орбита",0.32133,4,4
"орг",0.01664,3,5
"орган",5.890054,57,78
"организатор",3.137835,33,42
"организация",16.227292,156,217
"организм",11.646395,87,203
"орда",0.160261,4,4
"орден",0.47294,5,6
"орех",1.822818,17,34
"орешек",0.138379,3,3
"оригинал",0.992214,12,13
"оригинальное решение",1.802028,1,2
"ориентация",0.337715,4,4
"ориентир",0.595333,7,8
"орк",0.015143,3,3
"орка",0.024043,3,3
"оркестр",0.616364,7,7
"орлан",0.030242,4,4
"орнитолог",0.013429,2,2
"орок",0.013429,2,2
"орудие",1.342035,15,17
"оружие",5.785467,56,77
"орёл",0.245458,5,6
"осада",0.065169,1,3
"осадок",0.572735,8,8
"осанка",0.1131,5,6
"освещение",0.844731,9,10
"освобождение",3.090805,33,38
"освоение",0.407149,4,5
"осень",1.629149,18,20
"осина",0.055214,1,9
"осколок",0.236247,4,4
"осмысление",0.331331,6,6
"осмысленность",0.023386,2,2
"осно",0.015143,3,3
"основа",10.764058,115,136
"основатель",2.419948,26,30
"основательница",0.12454,8,9
"основное правило",3.683484,4,6
"основной вектор",1.623047,2,2
"основной критерий",1.204144,1,2
"основоположник",0.105555,3,3
"особенность",11.130291,128,161
"особняк",0.926495,12,18
"особые условия",1.762793,1,3
"особь",0.391064,6,7
"осознавание",0.013429,2,2
"осознанноепитание",0.015143,3,3
"осознанность",0.475117,28,46
"остальное",2.347409,26,27
"остановка",1.364144,15,16
"остановка сердца",2.262078,2,2
"остаток",2.513169,27,30
"остеопороз",0.019109,2,2
"остеохондроз",0.060429,6,10
"остров",4.924744,47,68
"осуждённый",0.270104,3,3
"осуществление",1.240614,12,16
"осьминог",0.028328,1,2
"осязание",0.033029,3,3
"осёл",0.269767,5,17
"отбой",0.063815,2,2
"отбор",1.781033,19,21
"отвага",0.894013,26,32
"отвар",0.573121,15,31
"отвержение",0.021736,1,2
"отверстие",0.755464,10,10
"ответ",18.960202,187,258
"отвлечение",0.062235,3,3
"отвращение",0.16685,3,3
"отдаление",0.055937,2,2
"отдача",0.959087,12,13
"отдел",4.997174,50,64
"отдел кадров",1.31526,2,2
"отделение",4.054593,40,53
"отделка",0.17258,2,2
"отдельность",0.435914,6,7
"отдушина",0.038926,2,2
"отдых",9.694547,97,126
"отдыхающий",1.103241,22,26
"отель",5.954429,56,80
"отец",16.567612,139,276
"отзыв",2.667381,30,32
"отказ",3.311873,33,43
"откладывание",0.016174,2,7
"отклик",0.477474,6,7
"отклонение",0.565005,7,8
"отключение",0.419215,6,6
"откровение",0.330649,4,5
"откровенность",0.183197,5,5
"открытие",7.764737,82,98
"открытка",0.738474,8,9
"откуп",0.058608,2,2
"отли",0.013429,2,2
"отличие",1.329743,13,18
"отличительная черта",0.828776,2,2
"отличник",0.11602,3,3
"отлично",1.110584,13,14
"отложение",0.319189,8,8
"отмена",0.338593,4,4
"отместка",0.032864,2,2
"отметка",1.061991,12,12
"отмывание",0.307676,5,6
"отношение",22.353129,187,343
"отопление",0.264273,3,3
"отпор",0.294891,8,10
"отправка",1.249999,14,18
"отправная точка",1.805355,2,2
"отпуск",2.335434,25,28
"отпущение",0.094527,3,3
"отработка",0.496613,7,12
"отравление",0.631328,10,10
"отражение",0.977416,11,12
"отрезок",0.139144,2,2
"отрезок времени",2.618021,2,3
"отрезок пути",2.548636,2,2
"отречение",0.034599,1,2
"отрицание",0.804019,9,24
"отросток",0.03592,2,2
"отрывок",0.450098,7,8
"отряд",1.237017,11,18
"отсек",0.103296,2,2
"отслеживание",0.109105,3,3
"отсос",0.012424,1,2
"отсройка",0.013429,2,2
"отсрочка",0.283574,4,4
"отставание",0.14974,2,2
"отставка",0.187624,2,2
"отстаивание",0.061234,2,2
"отстой",0.030328,2,3
"отстрел",0.038926,2,2
"отсутсвие",0.026597,2,2
"отсчёт",0.20389,4,4
"отсылка",0.227892,8,8
"оттепель",0.082912,3,3
"отток",0.155114,2,2
"отторжение",0.095586,2,2
"отход",5.215017,38,91
"отходы",0.697929,11,15
"отходы производства",1.773922,2,2
"отцовство",0.032864,2,2
"отчим",0.107958,3,6
"отчисление",0.162657,2,2
"отчётность",1.026767,11,12
"отъ",0.014199,1,6
"отъезд",0.352822,4,4
"отёк",0.248698,9,12
"отёчность",0.049513,4,4
"офис",2.97715,28,41
"офицер",0.276436,3,3
"официант",0.262794,6,7
"официантка",0.056108,2,3
"офлайн",0.313271,18,31
"офлейнер",0.014757,3,3
"оформление",4.201592,46,52
"офф",0.029242,11,12
"оффер",0.014199,2,3
"оффлайн",0.035576,8,8
"оффлейн",0.014199,2,3
"оффлейня",0.013429,2,2
"охват",0.37525,7,8
"охлаждение",0.143645,2,2
"охота",1.779174,19,22
"охотник",0.779437,9,10
"охрана окружающей среды",3.495225,7,10
"охранник",0.542342,6,8
"оце",0.013429,2,2
"оценка",3.630841,38,45
"очаг",0.311132,4,4
"очередь",2.400431,26,29
"очистка",3.276993,36,47
"очистное сооружение",0.668726,4,4
"очищающее средство",2.237089,2,2
"очищенная",0.074831,3,3
"очки",0.955511,12,12
"очко",3.976373,44,46
"ошейник",0.05955,2,3
"ошиб",0.013429,2,2
"ошибка",10.614778,111,132
"ошко",0.012969,1,3
"ощупь",0.158079,3,3
"ощущение",28.87385,225,484
"паблик",0.07286,36,39
"павильон",0.316963,3,6
"павлин",0.04888,3,3
"паводок",0.061234,2,2
"падение",2.214253,22,28
"падёж",0.033472,2,4
"пажитник",0.012061,1,2
"пазл",0.082912,3,3
"пазуха",0.131372,6,6
"пай",0.193886,3,12
"пак",0.094181,4,5
"пакет",4.226539,34,67
"пакетик",0.143645,2,2
"пакость",0.038926,2,2
"паладин",0.013429,2,2
"палата",1.339215,14,16
"палатка",0.348496,4,4
"палец",3.669291,33,52
"палитра",0.223769,3,3
"палка",0.863786,11,11
"паломник",0.373112,8,9
"паломничество",0.087297,2,2
"палочка",0.561521,6,8
"пальма",0.333189,6,8
"пальто",0.473938,7,7
"пальчик",0.11217,2,2
"пампа",0.014088,1,2
"памперс",0.118051,5,5
"памятка",0.197062,5,7
"памятник",1.41138,13,21
"память",13.988272,149,168
"панда",0.073325,3,5
"пандемия",0.09382,8,9
"панель",1.247372,15,15
"пание",0.016857,4,4
"паника",1.061663,12,13
"панк",0.883927,17,23
"панкейка",0.012424,1,2
"панорама",0.09357,2,2
"папарацци",0.062183,3,3
"папаша",0.121375,3,7
"папенька",0.013429,2,2
"папик",0.065669,5,9
"папка",5.54065,49,93
"папуас",0.028328,1,2
"пар",1.402712,15,18
"парагатэ",0.012424,1,2
"парад",0.89016,14,14
"парадокс",0.403241,5,6
"паразит",0.235406,8,8
"паралич",0.200255,6,8
"параллель",0.130344,2,2
"параметр",1.168586,11,16
"паранойя",0.044788,2,2
"парафин",0.018519,1,2
"парашют",0.167856,3,5
"парижанин",0.049513,4,4
"парикмахер",0.247584,5,8
"парикмахерская",0.106644,2,10
"парк",9.160264,68,159
"парковка",0.655441,7,9
"паркур",0.013429,2,2
"пармезан",0.029756,2,2
"парнишка",0.125235,4,4
"пародия",0.082925,2,2
"пароль",0.947804,12,16
"парочка",1.55115,17,20
"партитура",0.056719,1,2
"партия",3.754757,36,50
"партнерка",0.048899,2,2
"партнерство",0.649823,7,8
"партнёр",10.645542,97,155
"парус",0.099512,2,2
"парфюмерия",0.047647,2,2
"паспорт",2.214253,22,28
"паспортные данные",3.673199,2,2
"пассажир",1.459712,14,21
"пассив",0.032544,1,2
"пассия",0.04888,3,3
"паста",1.758004,18,33
"паства",0.112593,3,3
"пасть",0.106319,4,4
"патент",0.16717,3,3
"патология",0.500842,7,12
"патриархат",0.080074,3,4
"патриотизм",0.134266,2,2
"патрон",0.262784,3,4
"патруль",0.069463,2,2
"паттерн",0.171717,7,8
"патч",1.079725,65,106
"пау",0.012969,1,3
"паук",0.149828,4,5
"паутина",0.146973,3,3
"паутинка",0.029756,2,2
"пафос",0.14144,2,2
"пах",0.041882,2,2
"пацан",1.866638,31,34
"пациент",4.9002,35,89
"пациентка",0.168346,3,4
"певец",1.155459,13,16
"певица",2.944161,29,47
"педагог",10.035606,99,144
"педик",0.016802,2,2
"педофил",0.204541,3,5
"пейзаж",2.878923,32,40
"пейзажист",0.076928,10,10
"пейнит",0.012969,1,3
"пекарня",0.06647,3,3
"пеллет",0.013429,2,2
"пельмень",0.179054,6,6
"пельмешек",0.013429,2,2
"пелёнка",0.053221,2,2
"пенальти",0.266531,6,7
"пендель",0.016802,2,2
"пение",0.322656,5,5
"пенис",0.058393,4,6
"пенициллин",0.014366,1,7
"пенопласт",0.034896,3,3
"пенсионер",1.840138,17,25
"пенсия",1.315263,12,18
"пентест",0.020142,5,7
"пентестер",0.013429,2,2
"пеня",0.181173,4,4
"пенёк",0.038926,2,2
"пепел",0.372735,7,8
"пепельница",0.055937,2,2
"пептид",0.013429,2,2
"первак",0.013429,2,2
"первая помощь",4.550222,2,2
"первооткрыватель",0.073704,2,2
"первопричина",0.067159,5,5
"первопроходец",0.157112,5,5
"первый игрок",4.028233,2,2
"первый член",3.640445,2,2
"пергамент",0.044788,2,2
"пердеж",0.014199,2,3
"перебивание",0.012182,1,2
"перебор",0.124938,3,3
"переваривание",0.17328,12,17
"перевод",4.354819,39,63
"переводчик",0.428068,5,6
"перевозбуждение",0.012424,1,2
"перевозка",0.763585,8,9
"перевозчик",0.175044,2,2
"перевыпуск",0.012424,1,2
"переговорщик",0.061234,1,4
"перегородка",0.175737,3,5
"перегрузка",0.117247,2,3
"передача",2.497363,28,29
"передача импульсов",1.015236,2,2
"передозировка",0.043882,2,2
"переезд",0.912333,11,11
"переживание",4.027725,38,57
"пережиток",0.047647,2,2
"перезагрузка",0.077618,2,2
"перезарядка",0.046527,3,5
"переиздание",0.038926,2,2
"перекалибровка",0.013429,2,2
"перекись",0.030865,1,17
"перекладина",0.066351,2,2
"перекличка",0.053221,2,2
"переключение",0.310523,8,8
"перекус",0.029756,2,2
"перелом",0.467971,6,6
"переменная",0.047647,2,2
"перенастройка",0.013429,2,2
"перенос",0.392313,4,5
"переоформление",0.049783,1,3
"переоценка",0.071919,1,2
"перепечатка",0.016802,2,2
"переписка",0.793976,9,11
"перепись",0.11711,2,2
"переплата",0.094527,3,3
"перепыхоз",0.013086,2,2
"переработка",1.914801,20,23
"переработка отходов",1.481432,2,3
"перераспределение",0.142554,2,2
"перерасчёт",0.132274,3,3
"перерыв",4.500301,44,59
"перерыв в работе",3.719108,2,3
"пересадка",0.07607,2,2
"переселение",0.427089,4,6
"пересечение",0.423548,5,5
"перескакивание",0.012424,1,2
"пересп",0.013429,2,2
"переспрашивание",0.012424,1,2
"перестановка",0.217696,4,4
"перестрелка",0.270545,5,6
"пересчёт",0.137961,2,2
"переуступка",0.026597,2,2
"переутомление",0.030328,2,3
"перех",0.013429,2,2
"перехо",0.013429,2,2
"переход",2.78631,28,36
"перец",2.240259,22,37
"перечисление",0.178493,3,4
"периэк",0.013086,1,4
"периэку",0.012424,1,2
"перо",1.269876,13,19
"перрон",0.112593,3,3
"персонаж",8.819167,86,115
"персонал",1.914673,20,23
"перспектива",3.513691,40,42
"перфекционизм",0.044607,3,7
"перформанс",0.078906,3,3
"перхоть",0.027672,3,9
"перчатка",0.612265,8,8
"песок",0.892487,9,11
"песочница",0.324565,12,15
"пессимист",0.044296,3,3
"пестицид",0.088094,4,6
"петарда",0.044788,2,2
"петля",0.604855,10,11
"петрушка",0.569061,11,14
"петух",0.232713,6,8
"петушок",0.05265,2,3
"печать",1.697844,18,22
"печень",2.94165,31,57
"печенье",0.584005,7,13
"печь",0.901548,11,14
"пещера",0.361253,4,6
"пианино",0.163238,5,5
"пиар",0.437538,6,6
"пиарщик",0.071295,2,2
"пивко",0.048258,3,5
"пивнойалкоголизм",0.054573,26,26
"пиво",1.285869,13,16
"пиджак",0.322057,5,7
"пидорас",0.013642,1,5
"пижама",0.047647,2,2
"пик",0.804734,8,13
"пика",0.352512,3,15
"пикап",0.029756,2,2
"пике",0.239346,7,8
"пикник",0.092279,2,2
"пиковая нагрузка",0.755588,2,2
"пиксель",0.09802,5,7
"пилинг",0.064423,2,5
"пилка",0.013086,2,2
"пилот",1.40624,17,25
"пин",0.052084,3,3
"пинок",0.132422,3,4
"пипетка",0.012424,1,2
"пипка",0.013429,2,2
"пирамида",1.583511,12,30
"пират",0.910729,12,17
"пирог",0.333675,5,5
"пирога",0.283843,6,12
"пирожное",0.453075,20,23
"пирожок",0.510514,8,12
"писание",0.360295,5,5
"писатель",4.114734,38,58
"писательница",0.201377,4,5
"пистолет",0.971747,10,13
"письмо",4.366974,43,58
"питание",4.416879,40,63
"питбуль",0.018765,1,3
"питомец",3.061974,42,71
"питомник",0.125077,3,4
"питон",0.055728,4,4
"питты",0.011988,1,2
"питчинг",0.013429,2,2
"питьё",0.233241,5,6
"пихта",0.034197,2,3
"пицца",0.300577,6,7
"пища",15.194822,122,244
"пищеварение",1.431866,24,46
"пищевая добавка",0.618555,2,2
"пищевод",0.043195,4,4
"пла",0.01939,5,6
"плавание",0.639157,8,10
"плаванье",0.029756,2,2
"плавник",0.050457,2,2
"плагиат",0.044788,2,2
"плагин",0.098957,3,5
"плазма",0.052607,1,6
"плакат",0.974052,13,13
"пламя",1.082331,13,17
"планет",0.721185,16,18
"планета",8.247314,74,118
"планирование",2.488112,26,32
"планировка",0.169208,3,3
"планка",0.176143,2,2
"плантация",0.066162,1,2
"планшет",0.726992,10,10
"планы на будущее",4.685128,6,6
"пласт",1.677787,23,28
"пластик",0.798726,9,14
"пластика",0.184278,3,3
"пластилин",0.08606,4,4
"пластинка",1.834238,23,30
"пластырь",0.045037,1,3
"плата",5.250842,49,73
"платина",0.036033,2,2
"платформа",5.559908,68,81
"платформер",0.024547,8,9
"платформера",0.013429,2,2
"платёжеспособность",0.068845,2,2
"платёжка",0.053221,2,2
"плац",0.066351,2,2
"плач",0.26962,5,5
"плащ",0.087297,2,2
"плевел",0.074831,3,3
"плей",0.028346,10,12
"плейлист",0.082919,39,47
"плеймат",0.018399,3,8
"племя",0.803844,8,11
"племянник",0.121778,2,2
"плен",0.393882,6,6
"плесень",0.135312,4,5
"плечо",2.999935,32,36
"плита",0.958177,11,11
"плитка",0.320468,4,4
"пло",0.028858,11,11
"плов",0.038693,2,2
"плод",3.20227,31,45
"плодородие",0.079016,2,3
"плот",0.049227,2,5
"плотность",0.456439,5,6
"плоть",1.267785,15,19
"плохое качество",2.687362,2,2
"площадка",7.613412,75,100
"площадь",5.02206,41,81
"плу",0.022829,7,8
"плюс",3.837808,46,50
"плюс бесконечность",0.794187,1,3
"пляж",2.502813,26,35
"пляска",0.120047,3,3
"пневмония",0.080776,4,4
"побег",0.892163,9,18
"победа",10.369729,106,136
"победит",0.05611,2,2
"победитель",10.147029,115,131
"победительница",0.243241,5,5
"победоносность",0.012424,1,2
"побережье",0.76003,8,9
"побои",0.099512,2,2
"побоище",0.082912,3,3
"побрякушка",0.023386,2,2
"повадка",0.055937,2,2
"повар",0.34827,4,5
"поведение",8.930624,74,138
"повелитель",0.107129,4,4
"повелительтокио",0.013429,2,2
"поверхность",2.560927,25,33
"повестка",0.92714,8,14
"повод",3.87294,43,44
"поводок",0.510556,11,15
"поводырь",0.023386,2,2
"повтор",0.125953,3,3
"повторение",0.580051,8,8
"повышение",6.702448,68,85
"повышенная кислотность",1.957516,4,6
"погашение",0.381507,4,5
"погашение долгов",2.338661,4,4
"погибель",0.082912,3,3
"погибший",0.250347,3,3
"поглаживание",0.023296,1,3
"поглощение",0.123276,2,2
"поглощённость",0.013884,2,3
"поговорка",0.390436,7,7
"погода",1.95783,22,23
"погон",0.097869,1,2
"погреб",0.101875,4,4
"погремушка",0.029756,2,2
"погрешность",0.158079,3,3
